,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Azerbaijani_Turkey,0.094852,0.096813,-0.047894,-0.038114,-0.036417,-0.006414,0.004308,-0.005154,-0.025702,-0.00814,-0.002544,1e-04,-0.000248,0.002752,0.000362,-0.006718,-0.012734,0.005659,0.005489,-0.005669,0.00025,0.000618,-0.002177,-0.002812,0.002355
Baggara_Arab_Chad_A,-0.247882,0.103246,-0.02841,-0.066359,-0.00277,-0.027021,-0.026922,0.011461,0.062062,-0.032823,0.00184,-0.009158,0.01736,0.001223,0.008445,-0.001046,-0.003723,-0.005279,-0.000265,0.005141,0.001289,0.00338,-0.001616,0.002156,-0.003087
Baggara_Arab_Chad_B,-0.466778,0.076257,-0.0012,-0.027132,0.001595,-0.011713,-0.035551,0.028719,0.058178,-0.053097,-0.008267,0.007902,-0.007433,-0.002465,0.012647,-0.01385,0.01126,-0.013337,0.001714,-0.006139,-0.001531,-0.005677,0.00214,-0.000986,0.003756
Baggara_Arab_Sudan,-0.413242,0.08113,-0.011984,-0.038168,-0.002171,-0.016547,-0.026883,0.019897,0.071992,-0.063256,-0.009446,0.007935,-0.009308,-0.000925,0.01045,-0.00853,0.010344,-0.011543,0.008366,-0.005572,0.000506,0.001573,-0.002972,5.4e-05,2e-04
Bagvalin,0.112073,0.109364,-0.025934,0.007479,-0.042754,0.011692,0.00828,-0.005059,-0.059202,-0.038213,-0.003298,0.005418,-0.012991,-0.009136,0.014929,-0.003927,-0.000732,-0.001208,-0.007919,0.002395,-0.001296,-0.000276,0.002361,0.010317,-0.001852
Bagvalin_o,0.113254,0.118817,-0.034129,-0.016312,-0.035699,0.005578,0.002585,-0.006807,-0.06013,-0.035901,-0.00138,0.008767,-0.016204,-0.000138,0.013233,-0.014386,-0.009583,0.000697,-0.003708,0.001251,0.004554,0.006183,-0.002034,0.006266,0.002515
Bahun,0.068294,-0.039606,-0.106348,0.080912,-0.061704,0.047272,0.002703,0.004384,0.005318,0.00492,-0.009337,-0.001574,-0.000446,-0.006055,0.003597,0.004906,0.005672,-0.002597,0,-0.010067,0.000374,0.004822,0.002527,-0.006326,0.002634
Bahun_o,0.05198,-0.126941,-0.092395,0.058894,-0.045445,0.040253,0.000862,0.008538,0.009954,0.010691,-0.025062,-0.005645,0.002725,-0.007844,0.003891,0.002254,0.000261,0.003632,-0.003101,-0.005294,-0.00079,0.001072,0.008463,-0.001205,0.006985
Bai,0.021095,-0.438641,-0.005933,-0.05743,0.05876,0.023743,0.004653,0.001908,-0.007704,0.003134,-0.06082,-0.008922,0.009316,-0.007358,-0.00884,-0.001839,0.004807,-0.002221,-0.007609,-0.005202,0.00559,0.015556,0.012078,0.001486,0.022449
Baiku_Yao_Guizhou,0.015878,-0.450286,-0.031659,-0.06389,0.111359,0.047286,-0.000529,-0.006946,-0.018428,-0.005795,-0.016799,-0.005687,0.00498,-0.004294,0.000434,0.001717,0.002419,-0.002527,-0.009176,-0.013863,0.011112,0.011623,0.020484,-0.004223,0.007359
Bajo,0.002655,-0.385563,-0.096668,0.01292,0.145976,-0.031886,-0.002193,-0.009461,-0.01718,-0.018284,0.050232,0.006145,-0.004856,-0.003028,0.005565,0.004066,0.000348,0.002196,0.003897,-0.00346,-0.004908,-0.014138,-0.004478,-0.002972,-0.026265
Baka,-0.640255,0.062963,0.020553,0.030362,0.003385,0.009901,0.153462,-0.117226,-0.021168,0.032074,0.0095,-0.113824,-0.037314,-0.000895,0.002104,-0.003447,0.003194,-0.022107,0.005594,-0.001501,0.001996,-0.000371,0.001171,0.002169,-0.002814
Bakola,-0.641393,0.060424,0.026587,0.030847,0.001231,0.004183,0.157692,-0.122187,-0.015339,0.032256,0.006171,-0.089246,-0.02884,-0.00172,0.004682,-0.002917,0.001108,0.00266,0.000503,0.001563,-0.000873,-0.003957,-0.001479,0.001265,-0.001437
Balija,0.045529,-0.084289,-0.168196,0.106591,-0.084323,0.062193,-0.00188,0.016615,0.044177,0.026242,-0.00747,-0.002398,-0.004162,0.00234,-0.007736,0.004375,0.004042,0.004561,-0.002388,0.002626,0.016845,0.002844,0.002218,0.003976,-0.00455
Balkar,0.108782,0.08719,-0.022681,-0.018088,-0.032226,-0.000359,0.008897,-0.002901,-0.055251,-0.026138,-0.004036,0.00957,-0.016247,0.003382,0.006728,-0.017975,0.004508,-0.004235,-0.009948,0.014436,0.006328,0.001784,0.000669,-0.005285,-0.003644
Balochi_Iran,0.066587,0.053823,-0.098209,0.024979,-0.068628,0.026332,0.004778,0.001077,-0.021782,-0.019044,-0.003613,-0.002598,0.006417,-0.005688,0.015992,0.024286,-0.014701,0.002555,0.005541,-0.025293,-0.001081,-0.014797,-0.001962,-0.015123,0.011506
