,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Nenets,0.00611,-0.02608,0.0343,0.01192,-0.03677,-0.01786,0.00724,0.01207,0.00584,-0.00787,0.04521,0.0017,0.00684,-0.04118,-0.01753,-0.00945,-0.00252,0.00499,0.00692,-0.00714,0.00706,0.01376,0.02442,-0.00444,-0.00114
Nenets_Forest,0.0059179,-0.0283929,0.0349179,0.011325,-0.0397607,-0.0200893,0.0074643,0.0111679,0.0064607,-0.007925,0.0485571,0.001175,0.0080464,-0.0485714,-0.0168321,-0.009725,-0.0033107,0.0050571,0.0083036,-0.0079214,0.0057464,0.0173071,0.0295071,-0.0059429,-0.0040893
Nenets_Tundra,0.0059091,-0.0283455,0.0345545,0.0108182,-0.0404909,-0.0192545,0.0072727,0.0115,0.0068636,-0.0080818,0.0468909,0.0010182,0.0079364,-0.0475091,-0.0155,-0.0093818,-0.0005273,0.0049636,0.0064636,-0.0069818,0.0061727,0.0145545,0.0253455,-0.0020545,-0.0016091
Nepali_Indo-Aryan_A,0.0061,-0.0039,-0.027,0.0281,-0.0178,0.0183,-7e-04,0.0023,0.004,3e-04,-0.0035,2e-04,-0.0024,0.0015,0.0071,0.0032,-0.0027,0.0018,2e-04,-0.0062,4e-04,0.0031,-3e-04,0.0017,-3e-04
Nepali_Indo-Aryan_B,0.0049,-0.0082,-0.0256,0.0252,-0.0189,0.0172,0.0019,0.0022,0.0083,-4e-04,-0.0124,-0.0026,0.0017,-0.0035,0.0041,-0.0022,-0.0048,0.0045,-0.0015,-0.008,1e-04,0.0025,0.0014,-0.002,0.002
Nepali_Indo-Aryan_C,0.0044,-0.01185,-0.02555,0.02355,-0.0158,0.01735,0.00155,0.0043,0.00745,0.0061,-0.01575,0.00045,-0.0023,-0.002,0.0014,-0.00085,-0.0038,-0.0036,-0.00095,-0.0013,-0.00105,0.00465,0.0018,0.00315,0.0089
Nepali_Indo-Aryan_D,0.00245,-0.0168,-0.0354,0.0279,-0.0145,0.02065,-0.001,0.00585,0.02425,0.0198,-0.01445,-0.0027,0.00045,0.00515,-0.01025,-0.0142,0.00155,3e-04,-0.00385,0.005,0.00225,0.006,0.003,0.00365,0.0035
Nepali_Indo-Aryan_o1,0.00245,-0.0265,-0.01845,0.010825,-0.0048,0.0119,0.0018,0.005225,0.0136,0.011525,-0.0271,-0.0055,0.004025,0.00195,-0.00655,-0.009725,-0.0048,-0.0015,-0.004025,0.0047,0.001325,0.0145,0.002525,-0.00095,0.015975
Nepali_Indo-Aryan_o2,0.0023667,-0.0309667,-0.0148667,0.0032,-6.67e-05,0.0115667,0.0005333,0.0044333,0.0100333,0.0123667,-0.0341333,-0.0038333,0.0031667,-0.0017333,-0.0074333,-0.0028,0.0034667,-0.0014333,-0.0072333,0.0043667,0.0003667,0.0185667,0.0052667,0.0019,0.0220667
Nepali_Sherpa_Rolwaling,0.0019333,-0.0398467,-0.0008167,-0.0103767,0.00442,0.0020033,0.0022767,0.00295,0.00173,0.0077633,-0.0492167,-0.0082567,0.00736,-0.0022233,-0.0077067,-0.0032933,0.00408,-0.0013167,-0.0072633,0.0038467,-1.67e-05,0.02069,0.0018833,-0.0002367,0.0308667
Nepali_Tamang_Simigaon,0.002215,-0.034505,-0.008725,-0.00183,0.00191,0.0078,0.001765,0.0029,0.006915,0.009665,-0.040415,-0.005785,0.00648,-0.00055,-0.007125,-0.00356,0.00385,-0.00139,-0.005385,0.0052,0.001435,0.01625,0.002995,0.002015,0.02388
Nepali_Tamang_Tashinam,0.0016909,-0.0392818,-0.0039182,-0.0066273,0.0044273,0.0043636,0.0020455,0.0023364,0.0042727,0.0083455,-0.0481545,-0.0061364,0.0070727,-0.0012545,-0.0090455,-0.0047273,0.0040273,-0.0033,-0.0077,0.0048545,-0.0008727,0.0224,0.0068364,0.0022636,0.0317727
Newar,0.0032429,-0.0239286,-0.0198571,0.0122286,-0.0066857,0.0135429,0.0008143,0.0044714,0.0105286,0.0109429,-0.0268714,-0.0017857,0.0052857,7.14e-05,-0.0078429,-0.0059143,-0.0004857,-0.0028143,-0.0052,0.0039143,-0.0010714,0.0112,0.0028857,-0.0002714,0.0115
Nganasan,0.0039528,-0.0405111,0.0412694,0.0001083,-0.0523139,-0.0323389,0.0122,0.0178972,0.0143778,0.0073278,0.062775,0.0060722,-0.0027028,-0.0193139,-0.0149972,-0.0078917,0.0014833,0.0110278,0.0202833,-0.0007083,0.0340444,-0.0104778,0.0262,0.0002667,0.0108556
Nganasan_o,0.0045333,-0.0369667,0.0388,0.0005333,-0.0465667,-0.0277,0.0079333,0.0167,0.0129667,0.0044333,0.054,0.0073,-0.0012667,-0.0172667,-0.0183333,-0.0078333,0.0075,0.0124333,0.0172,-0.0009333,0.0353667,-0.0111333,0.0240333,0.0003667,0.0169667
Ngumba,-0.05535,0.0062,0.00535,0.0064,0.00035,0.0032,-0.0031,0.00585,-0.01455,0.00955,0.00255,-0.0066,-0.0019,2e-04,-0.0022,0.00285,0.00075,-0.0026,-0.00085,0.00545,0.0037,-0.0016,-0.0045,-9e-04,-3e-04
Nihali,7e-04,-0.0196,-0.049,0.0401,-0.0091,0.0213,-0.0019,0.0101,0.043,0.0311,0.008,0.0039,-0.001,0.0132,-0.0153,-0.0131,0.0159,-0.0012,-0.0067,0.0261,0.0034,0.0124,-0.0055,0.0082,-0.0056
Nivkh,0.0024778,-0.0434222,0.0189667,-0.0113667,-0.0183556,-0.0132778,0.0010556,0.0024,0.0051111,0.0101889,-0.0202444,-5.56e-05,0.0007333,0.0011778,-0.0106667,-0.0065333,0.0015667,0.0085111,0.0194556,0.0122667,0.0156667,-0.0372333,-0.0148556,0.0073889,-0.0126778
Nogai,0.0065471,-0.0162824,0.0111588,-0.0013294,-0.0094529,-0.0040471,0.0042059,0.0051176,-0.0046118,-0.0022588,-0.0124176,-0.0016471,0.0008118,-0.0018294,0.0015412,-0.0005294,9e-04,-5.29e-05,-7.06e-05,0.0040765,-0.0072294,-0.0016824,-0.0076294,0.0011529,-0.0011882
Nogai_Dobruja,0.0068,-0.0142,0.0106,8e-04,-0.0061,-0.0047,0.0024,0.0056,-0.0047,-0.001,-0.0083,0.0022,4e-04,0.0012,-0.0011,-3e-04,-0.0042,1e-04,-0.0019,0.0047,-0.0096,-0.0076,-0.0049,-0.0065,0.0027
North_Kannadi,0.0025333,-0.0115667,-0.0461667,0.0405,-0.0217667,0.0231667,0,0.0061333,0.0321,0.0232667,-0.0023333,-7e-04,0.0014333,0.0040333,-0.0095333,-0.0112333,0.0025667,-2e-04,-0.0019,0.0093,0.0036333,0.0072,-1e-04,0.0030667,-0.0048667
North_Ossetian,0.00915,0.00875,-0.00825,-0.007775,-0.01245,0.00205,0.005,-3e-04,-0.0264,-0.016,-0.00145,0.005,-0.0135,-2.5e-05,0.008175,-0.01705,0.0021,-0.0047,-0.007875,0.0151,0.00485,0.001575,-6e-04,-0.006975,-0.002275
Norwegian,0.011605,0.0127475,0.018045,0.0168825,0.0131025,0.007125,0.00177,0.00264,0.0030075,-0.001255,-0.00286,0.0028525,-0.0062125,-0.007375,0.0149225,0.004945,-0.0055225,0.0026125,0.0023675,0.003285,0.0045525,0.0033075,0.00072,0.0117075,-5.75e-05
Nyah_Kur,0.00083,-0.0374,-0.01991,-0.00766,0.03908,0.02232,-0.00309,-0.00443,-0.00029,-0.00527,0.03587,0.00327,-0.00486,0.00421,0.00196,-0.00169,0.00075,-0.00239,-0.00149,0.01048,-0.00574,0.01019,-0.00387,0.00344,0.02632
Nyaneka,-0.0550231,0.0062692,0.0055692,0.0052385,-6.92e-05,0.0034154,-0.0040846,0.0079,-0.0154231,0.0081077,0.001,-0.0010538,-0.0024385,5e-04,-0.0067154,0.0049538,-0.0024769,0.0073385,-0.0047308,0.0036538,0.0007154,-0.0005615,0.0008692,-0.0002385,0.0004154
Nyanja,-0.0549562,0.0061,0.0053875,0.0050062,0.0003062,0.0039625,-0.0064188,0.0097375,-0.0139938,0.0065062,0.000375,0.0013625,-0.0083688,0.0009062,-0.013325,0.0107938,-0.0091062,0.006925,-0.0070438,0.00475,0.0003187,3.75e-05,0.0016438,-0.0006562,-0.0013562
Nyishi,0.003375,-0.02315,-0.019025,0.009575,-0.00655,0.0126,0.00155,0.0035,0.006125,0.0088,-0.02485,-0.0039,0.002275,-0.0019,-0.002775,-0.0022,0.002325,-0.0015,-0.004275,0.001375,0.000825,0.00965,0.00425,0.00225,0.013575
Ogiek,-0.0381,0.0074,-0.0024,-0.0118,0.0016,-0.0066,0.00045,-0.00035,0.0449,-0.0425,-0.00665,0.00515,-0.01535,0.00125,0.00635,-0.01335,0.00735,0.00205,0.007,-0.01105,0.0049,0.0029,-0.0032,-0.00285,0.00095
Onge,-0.0019789,-0.0240789,-0.0351158,0.0297105,0.0097263,-0.0017053,-0.0032526,0.0032842,0.0268053,0.0134105,0.0144684,0.0021474,-0.0027316,0.0061579,-0.0093526,-0.0084053,0.0083737,-0.0012789,-0.0047579,0.0230526,-0.0029737,0.0078368,-0.0104053,-0.0009316,0.0036263
Orcadian,0.01148,0.01322,0.0167,0.015,0.01258,0.00629,0.00076,0.0017,0.00246,0.00098,-0.00421,0.00321,-0.00801,-0.00787,0.01647,0.00229,-0.0095,0.00274,0.00213,0.00024,0.00397,0.00182,-0.00175,0.00833,-5e-04
Oroqen,0.0027,-0.0430333,0.0188,-0.0128333,-0.0151,-0.0129333,0.0081333,0.0102,0.0036,0.0078,-0.0167,-0.0014333,-0.0011667,0.0001667,-0.0060333,-0.0094,-0.004,0.0045333,0.0084667,0.0075,0.0089667,-0.0113667,-0.0043,0.0011667,0.0046333
Ossetian,0.0094833,0.0097167,-0.0098333,-0.0082333,-0.0116333,-0.0007667,0.0036833,-0.0010333,-0.0303667,-0.0156333,-0.00165,0.00645,-0.0148333,0.0032333,0.0031,-0.0160333,0.0029667,-0.0045667,-0.0103667,0.0135167,0.00735,0.00015,-0.00175,-0.0085333,-0.0001167
Palestinian,0.004,0.01322,-0.01255,-0.02415,-0.00411,-0.01066,-0.00265,-0.00086,0.00819,-0.00017,0.00504,-0.00643,0.01366,-0.00096,-7e-04,0.00735,-0.00154,-0.00139,7e-05,0.00203,0.00091,0.00427,-0.00013,0.00199,0.00154
Palestinian_Beit_Sahour,0.0077,0.01445,-0.01435,-0.0263,-0.0051,-0.0083,-0.0023,-0.0022,0.00575,0.00565,0.0021,-0.00385,0.00735,-0.0038,-0.0036,0.0109,0.00755,0.00155,-1e-04,-9e-04,-0.00135,0.00315,0.00285,0.00445,0.0028
Pallan,0.002455,-0.011035,-0.04856,0.037805,-0.02362,0.02238,-0.0012,0.006895,0.030895,0.022205,-0.001895,-0.000335,-0.000205,0.004655,-0.00797,-0.007145,0.005175,-0.000105,-0.00014,0.0067,0.00524,0.00251,-0.001275,0.000755,-0.00401
Pamiri_Badakhshan,0.00804,0.00244,-0.01018,0.01416,-0.01574,0.00998,0.00238,4e-04,-0.01406,-0.01426,-0.0052,-0.00112,2e-05,-0.01006,0.01222,0.00748,-0.0058,0.00012,0.0021,-0.00616,-0.00536,-0.00306,0.00174,0.0015,0.00202
Pamiri_Ishkashim,0.0081,0.002475,-0.0117625,0.0159125,-0.0169,0.0092875,0.0015,-0.0012375,-0.01325,-0.013675,-0.0051625,-0.0008625,-0.0012625,-0.0089875,0.0102,0.0113375,-0.0017625,0.0011125,0.0003125,-0.00515,-0.00665,-1.25e-05,0.0010875,0.00155,0.002825
Pamiri_Rushan,0.0087625,0.00455,-0.006975,0.0132625,-0.014275,0.0093,0.0023125,-0.0007125,-0.0148375,-0.016175,-0.005175,-0.000575,-0.0014125,-0.01015,0.0124625,0.0105375,-0.0023,-0.0015,0.0005125,-0.00715,-0.0072,-0.00275,0.0011625,0.0011875,0.0004625
Pamiri_Sarikoli,0.00765,-0.000312,-0.009736,0.014668,-0.016112,0.010202,0.001894,-5.8e-05,-0.011818,-0.012804,-0.006342,-0.00026,-0.000748,-0.009764,0.011006,0.008838,-0.002114,0.000494,0.001144,-0.006046,-0.004728,-0.002136,0.001298,-0.000188,0.001356
Pamiri_Shugnan,0.008425,0.0039375,-0.008225,0.0140625,-0.0158625,0.00905,0.0003125,-0.0017625,-0.0136625,-0.0155125,-0.0028,-0.0007875,0.000575,-0.0120625,0.010425,0.0128375,-0.0022375,0.001375,0.0018125,-0.0067875,-0.0043125,-0.00375,0.00115,0.002475,0.0034875
Pamiri_Wakhi,0.0075476,0.0009667,-0.0117667,0.0164667,-0.0173762,0.0104476,0.0023095,-0.0003857,-0.0118143,-0.0122571,-0.0060762,-0.0008286,-0.0001857,-0.0107238,0.0113905,0.0086048,-0.0022762,-0.0004143,-7e-04,-0.0052,-0.0051238,-0.0007429,0.0013238,0.0011381,0.0013952
Paniya,0.0004562,-0.0172688,-0.0500312,0.04395,-0.0151875,0.0189,-0.0029438,0.0074438,0.0447,0.032125,0.0032375,0.0001938,-0.0026125,0.0111062,-0.0178437,-0.0225812,0.00965,-0.0001812,-0.0026312,0.0246438,0.0057812,0.0115438,-0.0083375,0.0062188,-0.0066125
