,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Serbia_IronGates_Mesolithic_o,0.1303275,0.1391275,0.132558,0.0991615,0.113098,0.0263555,0.0112805,0.0235375,0.058903,0.018315,-0.00341,-0.008018,0.0128595,-0.0001375,0.0123505,0.0225405,0.0017605,0.0034205,-0.003834,0.031703,0.0471045,0.007048,-0.025759,-0.0950735,0.0064065
Serbia_IronGates_N,0.134311,0.184826,0.009051,-0.095608,0.053856,-0.054663,-0.00611,-0.015692,0.039064,0.093852,0.000974,0.020082,-0.019177,0.011973,-0.031487,-0.012729,0.009909,-0.002407,0.003268,-0.012006,-0.007487,-0.000866,0.003081,0.001084,0.003473
Serbia_LBA,0.122929,0.139128,0.029793,-0.006137,0.02739,0.000837,0.011281,0.004846,0.000818,0.013668,-0.000812,0.004796,-0.009366,0.001514,0.000814,-0.003447,0.001043,-0.001774,0.003645,-0.001,0.000374,0.009027,0.01442,-0.000482,-0.005389
Serbia_LepenskiVir_EMN.SG,0.127482,0.183811,0,-0.105945,0.056934,-0.049085,-0.00611,-0.006,0.042541,0.095492,0.000487,0.014387,-0.020515,-0.003991,-0.040988,-0.009546,0.018515,0.002534,0.012444,-0.014882,-0.015473,0.009027,-0.002342,0.00494,-0.007185
Serbia_LepenskiVir_EN.SG,0.126344,0.185842,0,-0.100453,0.059088,-0.056894,-0.00423,-0.007384,0.051131,0.096038,0.012829,0.01124,-0.029286,0.004954,-0.046824,-0.01074,0.018645,0.004687,0.01345,-0.016383,-0.009358,0.007296,0.00037,0.002169,-0.0097
Serbia_Medieval_Gepidian.SG,0.095611,-0.001016,0.043746,0.00323,0.004001,-0.002231,0.00094,0.007615,0.001432,0.011116,-0.018025,-0.00015,-0.008176,-0.007156,0.004614,-0.001989,-0.00691,0.005321,0.007416,-0.008004,-0.005116,0.01422,0.000986,0.011809,-0.003353
Serbia_Mokrin_EBA_Maros,0.1257743,0.1486058,0.0358265,0.0023687,0.0394432,-0.0014872,0.00329,-0.0024998,0.0119648,0.0236298,-0.0002165,0.0031225,-0.0101835,-0.0043582,-0.0080527,0.0053257,0.009692,-0.0013302,0.0027235,-0.0005002,0.0014973,0.0035447,0.0022802,-0.0051413,-0.003233
Serbia_Mokrin_EBA_Maros_oAegean.SG,0.1212215,0.148775,0.0260215,-0.0085595,0.036468,-0.007809,0.0055225,0.0012695,0.0158505,0.027882,0.0034915,0.008992,-0.0160555,-0.003991,-0.015608,-0.009016,0.0005215,0.003864,0.005971,-0.0064405,0.000686,0.0069865,-0.001171,-0.0009035,-0.002455
Serbia_Mokrin_EBA_Maros.SG,0.1281514,0.1467142,0.0541723,0.018449,0.0467418,0.0027725,0.0018524,0.0049003,0.0143888,0.0206355,0.0014615,0.0013135,-0.0053344,0.001692,-0.0079036,-0.0007956,0.0048011,0.0017065,0.0032533,0.0009123,0.0007414,0.0040224,-0.005024,-0.0105826,-0.0037262
Serbia_Naissus_LateAntiquity_oLevant.SG,0.103579,0.15436,-0.029415,-0.062662,-0.001539,-0.023427,0.000235,-0.012692,0.006136,0.020957,0.001949,-0.001349,0.005798,-0.001376,-0.013301,-0.001856,0.009257,0.007348,0.011941,-0.002751,-0.013851,0.008408,-0.002835,-0.008194,0.001916
Serbia_Naissus_LateAntiquity.SG,0.126344,0.161469,0.017348,-0.033915,0.038776,-0.02259,0.00141,0,0.004909,0.038816,0.006983,0.013038,-0.017245,0.004404,-0.018865,0.006232,0.030249,0.003674,0.010433,-0.004502,-0.009733,-0.004822,-0.005916,-0.003976,-0.011496
Serbia_Sirmium_LateRoman.SG,0.141141,0.14319,0.059585,0.028101,0.038776,0.013945,0.00047,0.014538,0.023111,0.011845,-0.001299,-0.003147,0.000892,0.00867,-0.004207,-0.005967,-0.012647,0.002154,0.006411,-0.002751,0.003119,0.005317,0.002835,-0.000723,0.002515
